api	total	focus_total	excluded_total	category:common_user_or_argument_error	category:generated_code_error	category:low_signal_unclassified_exception	category:no_embedded_error_signal	category:strong_backend_failure	category:strong_backend_failure_sparse_caveat	category:tool_or_environment_limit	status:crash	status:exception	status:notarget	status:valid
torch.fmin	276	0	276	94	39	60	83	0	0	0	0	188	5	83
torch.fmod	574	0	574	80	79	208	207	0	0	0	0	357	10	207
torch.frac	401	0	401	124	34	37	206	0	0	0	0	190	5	206
torch.frexp	487	0	487	135	77	60	215	0	0	0	0	212	60	215
torch.from_numpy	399	0	399	72	83	32	212	0	0	0	0	168	19	212
torch.frombuffer	409	0	409	65	86	44	214	0	0	0	0	168	27	214
torch.full	574	0	574	188	131	47	208	0	0	0	0	316	50	208
torch.full_like	394	0	394	65	89	26	214	0	0	0	0	175	5	214
torch.futures.Future	1309	0	1309	217	294	597	201	0	0	0	0	921	187	201
torch.futures.collect_all	1417	0	1417	150	741	322	204	0	0	0	0	529	684	204
torch.fx.Graph	662	0	662	95	215	146	206	0	0	0	0	361	95	206
torch.fx.Node	1001	0	1001	173	276	346	206	0	0	0	0	597	198	206
torch.fx.Proxy	490	0	490	49	105	133	203	0	0	0	0	272	15	203
torch.fx.Tracer	447	0	447	57	91	87	212	0	0	0	0	176	59	212
torch.fx.replace_pattern	474	0	474	80	115	73	206	0	0	0	0	242	26	206
torch.gather	1586	0	1586	624	334	425	201	0	0	2	0	1099	286	201
torch.gcd	536	0	536	212	63	58	203	0	0	0	0	290	43	203
torch.ge	502	0	502	89	132	60	221	0	0	0	0	248	33	221
torch.geqrf	654	0	654	176	138	125	215	0	0	0	0	370	69	215
torch.ger	592	0	592	193	93	95	211	0	0	0	0	290	91	211
torch.get_default_dtype	516	0	516	80	116	109	211	0	0	0	0	283	22	211
torch.get_num_interop_threads	439	0	439	32	141	65	201	0	0	0	0	213	25	201
torch.get_num_threads	323	0	323	43	53	24	203	0	0	0	0	110	10	203
torch.get_rng_state	482	0	482	91	136	42	213	0	0	0	0	214	55	213
torch.gradient	815	0	815	247	201	163	204	0	0	0	0	440	171	204
torch.greater	340	0	340	41	35	60	204	0	0	0	0	120	16	204
torch.greater_equal	306	0	306	40	26	28	212	0	0	0	0	75	19	212
torch.gt	404	0	404	93	70	16	225	0	0	0	0	172	7	225
torch.hamming_window	340	0	340	48	44	41	207	0	0	0	0	127	6	207
torch.hann_window	626	0	626	139	177	107	203	0	0	0	0	392	31	203
torch.heaviside	565	0	565	161	127	54	223	0	0	0	0	296	46	223
torch.histc	549	0	549	136	108	106	199	0	0	0	0	308	42	199
torch.histogram	959	0	959	310	354	93	202	0	0	0	0	714	43	202
torch.hsplit	333	0	333	37	56	31	209	0	0	0	0	95	29	209
torch.hspmm	861	0	861	156	137	360	208	0	0	0	0	636	17	208
torch.hstack	816	0	816	282	146	184	204	0	0	0	0	494	118	204
torch.hub.download_url_to_file	804	0	804	173	220	199	212	0	0	0	0	518	74	212
torch.hub.get_dir	529	0	529	57	206	56	210	0	0	0	0	267	52	210
torch.hub.load_state_dict_from_url	783	0	783	149	295	133	206	0	0	0	0	556	21	206
torch.hub.set_dir	803	0	803	134	297	158	214	0	0	0	0	541	48	214
torch.hypot	281	0	281	44	13	13	211	0	0	0	0	42	28	211
torch.i0	610	0	610	166	144	96	204	0	0	0	0	360	46	204
torch.igamma	303	0	303	40	36	17	210	0	0	0	0	66	27	210
torch.igammac	278	0	278	34	19	19	206	0	0	0	0	65	7	206
torch.imag	480	0	480	127	73	79	201	0	0	0	0	267	12	201
torch.index_select	693	0	693	197	149	141	206	0	0	0	0	413	74	206
torch.initial_seed	422	0	422	60	91	61	210	0	0	0	0	193	19	210
torch.inner	362	0	362	66	40	56	200	0	0	0	0	135	27	200
torch.inverse	401	0	401	123	36	30	212	0	0	0	0	183	6	212
torch.is_complex	562	0	562	130	144	83	205	0	0	0	0	317	40	205
torch.is_conj	636	0	636	165	151	115	205	0	0	0	0	364	67	205
torch.is_floating_point	547	0	547	104	151	92	200	0	0	0	0	305	42	200
torch.is_grad_enabled	560	0	560	70	57	222	211	0	0	0	0	233	116	211
torch.is_inference_mode_enabled	400	0	400	22	130	32	216	0	0	0	0	110	74	216
torch.is_nonzero	1181	1	1180	219	278	476	207	1	0	0	0	822	152	207
torch.is_storage	517	0	517	39	177	87	214	0	0	0	0	202	101	214
torch.is_tensor	569	0	569	105	168	87	209	0	0	0	0	334	26	209
torch.is_warn_always_enabled	774	0	774	111	355	99	209	0	0	0	0	474	91	209
torch.isclose	569	0	569	118	121	127	203	0	0	0	0	354	12	203
torch.isfinite	507	0	507	118	87	95	207	0	0	0	0	272	28	207
torch.isin	427	0	427	86	98	37	206	0	0	0	0	192	29	206
torch.isinf	324	0	324	45	53	19	207	0	0	0	0	102	15	207
torch.isnan	561	0	561	81	162	111	207	0	0	0	0	286	68	207
torch.isneginf	828	0	828	143	320	165	200	0	0	0	0	510	118	200
torch.isposinf	627	0	627	101	163	149	214	0	0	0	0	342	71	214
torch.isreal	746	0	746	99	253	191	203	0	0	0	0	403	140	203
torch.istft	934	0	934	323	173	235	203	0	0	0	0	695	36	203
torch.jit.ScriptModule	762	0	762	85	242	235	200	0	0	0	0	521	41	200
torch.jit.annotate	696	0	696	42	180	267	207	0	0	0	0	449	40	207
torch.jit.ignore	442	0	442	37	134	70	201	0	0	0	0	174	67	201
torch.jit.isinstance	430	0	430	106	78	44	202	0	0	0	0	171	57	202
torch.jit.load	509	0	509	37	153	113	206	0	0	0	0	288	15	206
torch.jit.script	455	0	455	25	52	167	211	0	0	0	0	241	3	211
torch.jit.wait	641	0	641	68	243	122	208	0	0	0	0	390	43	208
torch.kaiser_window	602	0	602	174	132	93	203	0	0	0	0	364	35	203
torch.kron	612	0	612	113	210	75	214	0	0	0	0	357	41	214
torch.kthvalue	674	0	674	140	250	59	225	0	0	0	0	399	50	225
torch.lcm	344	0	344	82	35	12	215	0	0	0	0	122	7	215
torch.ldexp	472	0	472	137	83	47	205	0	0	0	0	231	36	205
torch.le	435	0	435	91	59	85	200	0	0	0	0	166	69	200
torch.lerp	426	0	426	99	65	32	230	0	0	0	0	179	17	230
torch.less	276	0	276	30	19	24	203	0	0	0	0	67	6	203
torch.less_equal	397	0	397	72	33	84	208	0	0	0	0	177	12	208
torch.lgamma	339	0	339	46	51	22	220	0	0	0	0	106	13	220
torch.linalg.cholesky	545	0	545	101	99	141	204	0	0	0	0	302	39	204
torch.linalg.cholesky_ex	931	0	931	338	120	267	206	0	0	0	0	626	99	206
torch.linalg.cond	530	0	530	135	52	140	203	0	0	0	0	293	34	203
torch.linalg.det	581	0	581	127	81	170	203	0	0	0	0	309	69	203
torch.linalg.eig	448	0	448	121	43	66	218	0	0	0	0	223	7	218
torch.linalg.eigh	575	0	575	125	115	126	209	0	0	0	0	322	44	209
torch.linalg.eigvals	452	0	452	105	63	83	201	0	0	0	0	245	6	201
torch.linalg.eigvalsh	409	0	409	96	48	57	208	0	0	0	0	192	9	208
torch.linalg.householder_product	740	0	740	268	67	205	200	0	0	0	0	392	148	200
torch.linalg.inv	372	0	372	52	69	50	201	0	0	0	0	167	4	201
torch.linalg.inv_ex	919	0	919	307	163	248	201	0	0	0	0	588	130	201
torch.linalg.lstsq	531	0	531	164	62	98	207	0	0	0	0	293	31	207
torch.linalg.matmul	603	0	603	114	103	185	201	0	0	0	0	384	18	201
torch.linalg.matrix_norm	620	0	620	166	89	146	219	0	0	0	0	342	59	219
torch.linalg.matrix_power	461	0	461	92	57	107	205	0	0	0	0	205	51	205
torch.linalg.matrix_rank	581	0	581	144	155	75	207	0	0	0	0	304	70	207
torch.linalg.multi_dot	355	0	355	103	58	152	42	0	0	0	0	258	55	42
torch.linalg.norm	675	0	675	167	101	196	211	0	0	0	0	315	149	211
torch.linalg.qr	610	0	610	115	126	177	191	0	0	1	0	356	63	191
torch.linalg.slogdet	752	0	752	190	129	226	207	0	0	0	0	433	112	207
torch.linalg.solve	602	0	602	129	62	211	200	0	0	0	0	379	23	200
torch.linalg.svd	431	0	431	127	34	67	203	0	0	0	0	218	10	203
torch.linalg.svdvals	736	0	736	298	160	77	201	0	0	0	0	490	45	201
torch.linalg.tensorinv	548	0	548	190	63	87	208	0	0	0	0	281	59	208
torch.linalg.tensorsolve	1009	0	1009	499	121	185	204	0	0	0	0	725	80	204
torch.linalg.vector_norm	473	0	473	131	83	55	204	0	0	0	0	229	40	204
torch.linspace	420	0	420	68	116	31	205	0	0	0	0	206	9	205
torch.load	450	0	450	64	66	112	208	0	0	0	0	231	11	208
torch.lobpcg	1293	0	1293	184	310	589	209	0	0	1	0	992	92	209
torch.log	623	0	623	117	193	111	202	0	0	0	0	405	16	202
torch.log10	459	0	459	116	89	48	206	0	0	0	0	210	43	206
torch.log1p	350	0	350	55	57	36	202	0	0	0	0	128	20	202
torch.log2	406	0	406	56	90	58	202	0	0	0	0	147	57	202
torch.logaddexp	631	0	631	148	213	67	203	0	0	0	0	399	29	203
torch.logaddexp2	336	0	336	55	35	38	208	0	0	0	0	117	11	208
torch.logcumsumexp	368	0	368	64	36	38	230	0	0	0	0	110	28	230
torch.logdet	574	0	574	185	69	107	213	0	0	0	0	290	71	213
torch.logical_and	433	0	433	63	67	84	219	0	0	0	0	191	23	219
torch.logical_not	473	0	473	86	87	100	200	0	0	0	0	255	18	200
torch.logical_or	419	0	419	77	47	85	210	0	0	0	0	192	17	210
torch.logical_xor	584	0	584	98	114	165	207	0	0	0	0	354	23	207
torch.logit	582	0	582	156	156	64	206	0	0	0	0	325	51	206
torch.logspace	450	0	450	149	67	28	206	0	0	0	0	235	9	206
torch.logsumexp	822	0	822	253	161	199	209	0	0	0	0	345	268	209
torch.lt	347	0	347	58	39	44	206	0	0	0	0	105	36	206
torch.lu	640	0	640	133	140	147	220	0	0	0	0	409	11	220
torch.lu_solve	891	0	891	224	157	305	205	0	0	0	0	653	33	205
torch.lu_unpack	502	0	502	130	75	94	203	0	0	0	0	260	39	203
torch.masked_select	835	0	835	203	266	166	200	0	0	0	0	561	74	200
torch.matmul	662	0	662	141	152	161	208	0	0	0	0	426	28	208
torch.matrix_exp	398	0	398	77	66	40	215	0	0	0	0	150	33	215
torch.matrix_power	532	0	532	164	84	81	203	0	0	0	0	248	81	203
torch.max	606	0	606	160	176	66	204	0	0	0	0	365	37	204
torch.maximum	405	0	405	79	57	57	212	0	0	0	0	135	58	212
torch.mean	542	0	542	121	152	63	206	0	0	0	0	279	57	206
torch.median	543	0	543	140	90	110	203	0	0	0	0	298	42	203
torch.meshgrid	532	0	532	149	86	94	203	0	0	0	0	313	16	203
torch.min	471	0	471	87	144	27	213	0	0	0	0	239	19	213
torch.minimum	463	0	463	99	93	53	218	0	0	0	0	207	38	218
torch.mm	671	0	671	164	101	198	208	0	0	0	0	404	59	208
torch.mode	627	0	627	184	140	101	202	0	0	0	0	354	71	202
torch.moveaxis	517	0	517	176	100	24	217	0	0	0	0	275	25	217
torch.movedim	541	0	541	151	145	45	200	0	0	0	0	301	40	200
torch.msort	590	0	590	151	130	108	201	0	0	0	0	336	53	201
torch.mul	366	0	366	49	73	29	215	0	0	0	0	136	15	215
torch.multinomial	1149	0	1149	210	478	250	211	0	0	0	0	902	36	211
torch.multiply	331	0	331	53	55	13	210	0	0	0	0	109	12	210
torch.mv	419	0	419	152	63	162	42	0	0	0	0	337	40	42
torch.mvlgamma	746	0	746	282	149	87	228	0	0	0	0	480	38	228
torch.nan_to_num	441	0	441	54	125	55	207	0	0	0	0	204	30	207
torch.nanmean	677	0	677	139	120	214	204	0	0	0	0	443	30	204
torch.nanmedian	870	0	870	274	269	114	213	0	0	0	0	600	57	213
torch.nanquantile	577	0	577	112	163	99	203	0	0	0	0	338	36	203
torch.nansum	513	0	513	92	146	69	206	0	0	0	0	267	40	206
torch.narrow	731	0	731	192	206	130	203	0	0	0	0	480	48	203
torch.ne	528	0	528	102	110	110	206	0	0	0	0	266	56	206
torch.neg	390	0	390	79	73	27	211	0	0	0	0	163	16	211
torch.negative	537	0	537	80	211	44	202	0	0	0	0	300	35	202
torch.nextafter	325	0	325	55	37	7	226	0	0	0	0	94	5	226
torch.nn.AdaptiveAvgPool1d	631	0	631	181	137	112	201	0	0	0	0	362	68	201
torch.nn.AdaptiveAvgPool2d	15	0	15	3	4	5	3	0	0	0	0	8	4	3
torch.nn.AdaptiveAvgPool3d	692	0	692	124	221	146	201	0	0	0	0	431	60	201
torch.nn.AdaptiveLogSoftmaxWithLoss	1254	0	1254	422	272	353	205	0	0	2	0	927	122	205
torch.nn.AdaptiveMaxPool1d	349	0	349	27	107	15	200	0	0	0	0	147	2	200
torch.nn.AdaptiveMaxPool2d	515	0	515	106	76	122	211	0	0	0	0	263	41	211
torch.nn.AdaptiveMaxPool3d	575	0	575	79	142	153	201	0	0	0	0	314	60	201
torch.nn.AlphaDropout	576	0	576	104	180	83	209	0	0	0	0	345	22	209
torch.nn.AvgPool1d	536	0	536	96	159	80	201	0	0	0	0	311	24	201
torch.nn.AvgPool2d	437	0	437	66	73	94	204	0	0	0	0	218	15	204
torch.nn.AvgPool3d	674	0	674	137	100	227	210	0	0	0	0	446	18	210
torch.nn.BCELoss	551	0	551	85	133	130	203	0	0	0	0	291	57	203
torch.nn.BCEWithLogitsLoss	500	0	500	50	111	124	215	0	0	0	0	261	24	215
torch.nn.BatchNorm1d	481	0	481	63	110	106	202	0	0	0	0	276	3	202
torch.nn.BatchNorm2d	634	0	634	45	178	209	202	0	0	0	0	417	15	202
torch.nn.BatchNorm3d	620	0	620	78	121	191	230	0	0	0	0	352	38	230
torch.nn.Bilinear	615	0	615	201	118	94	202	0	0	0	0	382	31	202
torch.nn.CELU	436	0	436	138	62	32	204	0	0	0	0	211	21	204
torch.nn.CTCLoss	2270	0	2270	1204	636	230	200	0	0	0	0	1765	305	200
torch.nn.ChannelShuffle	484	0	484	140	68	76	200	0	0	0	0	248	36	200
torch.nn.ConstantPad1d	584	0	584	175	104	103	202	0	0	0	0	352	30	202
torch.nn.ConstantPad2d	573	0	573	220	82	69	202	0	0	0	0	335	36	202
torch.nn.ConstantPad3d	644	0	644	250	104	83	207	0	0	0	0	414	23	207
torch.nn.Conv1d	684	0	684	100	302	71	211	0	0	0	0	447	26	211
torch.nn.Conv2d	490	0	490	127	50	110	203	0	0	0	0	283	4	203
torch.nn.Conv3d	422	0	422	82	63	63	214	0	0	0	0	187	21	214
torch.nn.ConvTranspose1d	708	0	708	226	166	114	202	0	0	0	0	487	19	202
torch.nn.ConvTranspose2d	637	0	637	191	148	85	213	0	0	0	0	400	24	213
torch.nn.ConvTranspose3d	486	0	486	130	58	91	207	0	0	0	0	265	14	207
torch.nn.CosineEmbeddingLoss	2210	0	2210	992	701	315	202	0	0	0	0	1627	381	202
torch.nn.CosineSimilarity	399	0	399	95	57	47	200	0	0	0	0	185	14	200
torch.nn.CrossEntropyLoss	942	0	942	57	449	235	201	0	0	0	0	654	87	201
torch.nn.DataParallel	383	0	383	29	84	67	203	0	0	0	0	145	35	203
torch.nn.Dropout	653	0	653	134	273	21	225	0	0	0	0	421	7	225
torch.nn.Dropout2d	427	0	427	51	122	41	213	0	0	0	0	201	13	213
torch.nn.Dropout3d	451	0	451	91	101	59	200	0	0	0	0	244	7	200
torch.nn.ELU	573	0	573	122	160	83	208	0	0	0	0	301	64	208
torch.nn.Embedding	628	0	628	113	215	91	209	0	0	0	0	417	2	209
torch.nn.EmbeddingBag	558	0	558	123	134	99	202	0	0	0	0	296	60	202
torch.nn.FeatureAlphaDropout	716	0	716	127	231	155	203	0	0	0	0	475	38	203
torch.nn.FractionalMaxPool2d	849	0	849	258	178	189	224	0	0	0	0	596	29	224
torch.nn.FractionalMaxPool3d	681	0	681	211	83	186	201	0	0	0	0	456	24	201
torch.nn.GELU	924	0	924	118	461	145	200	0	0	0	0	619	105	200
torch.nn.GLU	680	0	680	116	221	138	205	0	0	0	0	461	14	205
torch.nn.GRU	718	0	718	224	147	144	203	0	0	0	0	499	16	203
torch.nn.GRUCell	933	0	933	248	298	183	204	0	0	0	0	673	56	204
torch.nn.GaussianNLLLoss	610	0	610	204	78	128	200	0	0	0	0	329	81	200
torch.nn.GroupNorm	848	0	848	235	179	232	202	0	0	0	0	611	35	202
torch.nn.Hardshrink	732	0	732	210	177	139	206	0	0	0	0	396	130	206
torch.nn.Hardsigmoid	324	0	324	48	18	51	207	0	0	0	0	84	33	207
torch.nn.Hardswish	329	0	329	43	48	26	212	0	0	0	0	84	33	212
torch.nn.Hardtanh	528	0	528	151	106	68	203	0	0	0	0	274	51	203
torch.nn.HingeEmbeddingLoss	470	0	470	105	120	44	201	0	0	0	0	245	24	201
torch.nn.HuberLoss	410	0	410	68	52	82	208	0	0	0	0	174	28	208
torch.nn.Identity	492	0	492	45	137	81	229	0	0	0	0	219	44	229
torch.nn.InstanceNorm1d	476	0	476	96	88	90	202	0	0	0	0	241	33	202
torch.nn.InstanceNorm2d	457	0	457	52	86	110	209	0	0	0	0	236	12	209
torch.nn.InstanceNorm3d	487	0	487	96	56	130	205	0	0	0	0	276	6	205
torch.nn.KLDivLoss	415	0	415	64	62	64	225	0	0	0	0	148	42	225
torch.nn.L1Loss	593	0	593	86	85	211	211	0	0	0	0	337	45	211
torch.nn.LPPool1d	648	0	648	224	106	114	204	0	0	0	0	425	19	204
torch.nn.LPPool2d	569	0	569	104	159	98	208	0	0	0	0	349	12	208
torch.nn.LSTM	835	0	835	282	224	127	202	0	0	0	0	617	16	202
torch.nn.LSTMCell	908	0	908	224	412	67	205	0	0	0	0	665	38	205
torch.nn.LayerNorm	652	0	652	136	225	81	210	0	0	0	0	421	21	210
torch.nn.LazyBatchNorm1d	446	0	446	14	170	61	201	0	0	0	0	242	3	201
torch.nn.LazyBatchNorm3d	601	0	601	67	110	218	206	0	0	0	0	372	23	206
torch.nn.LazyConv1d	457	0	457	78	66	108	205	0	0	0	0	241	11	205
torch.nn.LazyConv2d	503	0	503	64	63	168	208	0	0	0	0	250	45	208
torch.nn.LazyConv3d	802	0	802	153	147	302	200	0	0	0	0	558	44	200
torch.nn.LazyConvTranspose1d	636	0	636	93	91	251	200	0	0	1	0	418	18	200
torch.nn.LazyConvTranspose2d	519	0	519	140	62	112	205	0	0	0	0	278	36	205
torch.nn.LazyConvTranspose3d	491	0	491	85	59	148	199	0	0	0	0	264	28	199
torch.nn.LazyInstanceNorm1d	593	0	593	132	143	116	202	0	0	0	0	349	42	202
torch.nn.LazyInstanceNorm2d	384	0	384	25	74	68	217	0	0	0	0	164	3	217
torch.nn.LazyInstanceNorm3d	670	0	670	214	186	63	207	0	0	0	0	430	33	207
torch.nn.LazyLinear	678	0	678	153	127	188	203	0	0	7	0	396	79	203
torch.nn.LeakyReLU	645	0	645	161	131	148	205	0	0	0	0	392	48	205
torch.nn.Linear	526	0	526	80	143	98	205	0	0	0	0	319	2	205
torch.nn.LocalResponseNorm	427	0	427	121	42	47	217	0	0	0	0	175	35	217
torch.nn.LogSigmoid	501	0	501	174	47	66	214	0	0	0	0	277	10	214
torch.nn.LogSoftmax	355	0	355	67	58	28	202	0	0	0	0	145	8	202
torch.nn.MSELoss	417	0	417	67	101	42	207	0	0	0	0	187	23	207
torch.nn.MarginRankingLoss	479	0	479	89	98	87	205	0	0	0	0	230	44	205
torch.nn.MaxPool1d	481	0	481	98	40	131	212	0	0	0	0	244	25	212
torch.nn.MaxPool2d	449	0	449	64	116	68	201	0	0	0	0	205	43	201
torch.nn.MaxPool3d	513	0	513	105	63	136	209	0	0	0	0	301	3	209
torch.nn.MaxUnpool1d	3479	0	3479	2058	672	544	205	0	0	0	0	3057	217	205
torch.nn.MaxUnpool2d	914	0	914	417	144	139	214	0	0	0	0	641	59	214
torch.nn.MaxUnpool3d	676	0	676	293	101	59	223	0	0	0	0	426	27	223
torch.nn.Mish	816	0	816	225	210	158	223	0	0	0	0	505	88	223
torch.nn.Module	44	0	44	3	34	5	2	0	0	0	0	37	5	2
torch.nn.ModuleDict	326	0	326	36	152	32	106	0	0	0	0	194	26	106
torch.nn.ModuleList	479	0	479	49	174	45	211	0	0	0	0	244	24	211
torch.nn.MultiLabelMarginLoss	586	0	586	160	117	108	201	0	0	0	0	337	48	201
torch.nn.MultiLabelSoftMarginLoss	411	0	411	108	51	47	205	0	0	0	0	184	22	205
torch.nn.MultiMarginLoss	609	0	609	150	117	122	220	0	0	0	0	340	49	220
torch.nn.MultiheadAttention	494	0	494	105	80	105	204	0	0	0	0	281	9	204
torch.nn.NLLLoss	460	0	460	70	101	78	211	0	0	0	0	210	39	211
torch.nn.PReLU	401	0	401	106	49	40	206	0	0	0	0	170	25	206
torch.nn.PairwiseDistance	468	0	468	133	51	67	217	0	0	0	0	207	44	217
torch.nn.ParameterDict	638	0	638	39	280	113	206	0	0	0	0	401	31	206
torch.nn.ParameterList	728	0	728	27	401	96	204	0	0	0	0	499	25	204
torch.nn.PixelShuffle	541	0	541	97	71	165	208	0	0	0	0	299	34	208
torch.nn.PixelUnshuffle	484	0	484	68	144	68	204	0	0	0	0	240	40	204
torch.nn.PoissonNLLLoss	639	0	639	173	185	77	204	0	0	0	0	350	85	204
torch.nn.RNN	1185	0	1185	453	345	183	204	0	0	0	0	934	47	204
torch.nn.RNNBase	891	0	891	224	245	220	201	0	0	1	0	672	18	201
torch.nn.RNNCell	1134	0	1134	362	312	260	200	0	0	0	0	878	56	200
torch.nn.RReLU	480	0	480	82	84	110	204	0	0	0	0	236	40	204
torch.nn.ReLU	724	0	724	121	178	213	212	0	0	0	0	492	20	212
torch.nn.ReLU6	451	0	451	27	98	118	208	0	0	0	0	234	9	208
torch.nn.ReflectionPad1d	766	0	766	164	196	203	203	0	0	0	0	531	32	203
torch.nn.ReflectionPad2d	354	0	354	39	61	47	207	0	0	0	0	144	3	207
torch.nn.ReflectionPad3d	661	0	661	167	164	130	200	0	0	0	0	450	11	200
torch.nn.ReplicationPad1d	597	0	597	123	95	174	205	0	0	0	0	375	17	205
torch.nn.ReplicationPad2d	538	0	538	141	78	117	202	0	0	0	0	313	23	202
torch.nn.ReplicationPad3d	643	0	643	193	167	157	126	0	0	0	0	479	38	126
torch.nn.SELU	429	0	429	82	82	56	209	0	0	0	0	178	42	209
torch.nn.Sequential	638	0	638	63	262	112	201	0	0	0	0	420	17	201
torch.nn.SiLU	410	0	410	81	66	54	209	0	0	0	0	135	66	209
torch.nn.Sigmoid	432	0	432	107	91	25	209	0	0	0	0	204	19	209
torch.nn.SmoothL1Loss	397	0	397	80	56	47	214	0	0	0	0	133	50	214
torch.nn.SoftMarginLoss	662	0	662	246	117	99	200	0	0	0	0	446	16	200
torch.nn.Softmax	732	0	732	180	144	202	206	0	0	0	0	439	87	206
torch.nn.Softmax2d	496	0	496	157	56	73	210	0	0	0	0	271	15	210
torch.nn.Softmin	1051	0	1051	201	278	339	233	0	0	0	0	667	151	233
torch.nn.Softplus	502	0	502	140	66	75	221	0	0	0	0	255	26	221
torch.nn.Softshrink	930	0	930	405	190	128	207	0	0	0	0	619	104	207
torch.nn.Softsign	318	0	318	68	31	11	208	0	0	0	0	65	45	208
torch.nn.SyncBatchNorm	484	0	484	53	109	117	205	0	0	0	0	253	26	205
torch.nn.Tanh	285	0	285	35	27	15	208	0	0	0	0	59	18	208
torch.nn.Tanhshrink	397	0	397	66	63	63	205	0	0	0	0	158	34	205
torch.nn.Threshold	784	0	784	244	224	109	207	0	0	0	0	499	78	207
torch.nn.Transformer	114	0	114	26	28	41	19	0	0	0	0	89	6	19
torch.nn.TransformerDecoderLayer	740	0	740	176	206	140	218	0	0	0	0	515	7	218
torch.nn.TransformerEncoderLayer	582	0	582	130	108	142	202	0	0	0	0	337	43	202
torch.nn.TripletMarginLoss	505	0	505	39	216	50	200	0	0	0	0	303	2	200
torch.nn.TripletMarginWithDistanceLoss	1168	0	1168	791	110	58	209	0	0	0	0	928	31	209
torch.nn.Unfold	625	0	625	205	123	96	201	0	0	0	0	391	33	201
torch.nn.Upsample	690	0	690	150	150	189	201	0	0	0	0	421	68	201
torch.nn.UpsamplingBilinear2d	944	0	944	169	214	356	205	0	0	0	0	698	41	205
torch.nn.UpsamplingNearest2d	580	0	580	74	145	160	201	0	0	0	0	312	67	201
torch.nn.ZeroPad2d	485	0	485	119	100	51	215	0	0	0	0	257	13	215
torch.nn.functional.adaptive_avg_pool1d	774	0	774	280	132	158	204	0	0	0	0	499	71	204
torch.nn.functional.adaptive_avg_pool2d	563	0	563	174	110	77	202	0	0	0	0	335	26	202
torch.nn.functional.adaptive_avg_pool3d	676	0	676	160	196	116	204	0	0	0	0	428	44	204
torch.nn.functional.adaptive_max_pool1d	482	0	482	158	76	48	200	0	0	0	0	268	14	200
torch.nn.functional.adaptive_max_pool2d	690	0	690	195	165	128	202	0	0	0	0	444	44	202
torch.nn.functional.adaptive_max_pool3d	561	0	561	147	108	101	205	0	0	0	0	324	32	205
torch.nn.functional.affine_grid	665	0	665	166	179	126	194	0	0	0	0	425	46	194
torch.nn.functional.alpha_dropout	449	0	449	76	54	119	200	0	0	0	0	241	8	200
torch.nn.functional.avg_pool1d	383	0	383	78	44	54	207	0	0	0	0	155	21	207
torch.nn.functional.avg_pool2d	486	0	486	157	36	87	206	0	0	0	0	250	30	206
torch.nn.functional.avg_pool3d	498	0	498	74	104	113	207	0	0	0	0	265	26	207
torch.nn.functional.batch_norm	576	0	576	144	105	126	201	0	0	0	0	364	11	201
torch.nn.functional.bilinear	1789	0	1789	1007	216	365	201	0	0	0	0	1406	182	201
torch.nn.functional.binary_cross_entropy	966	0	966	120	331	312	203	0	0	0	0	581	182	203
torch.nn.functional.binary_cross_entropy_with_logits	443	0	443	68	74	92	209	0	0	0	0	206	28	209
torch.nn.functional.celu	560	0	560	119	119	102	220	0	0	0	0	308	32	220
torch.nn.functional.conv1d	533	0	533	174	67	77	215	0	0	0	0	275	43	215
torch.nn.functional.conv2d	560	0	560	206	71	83	200	0	0	0	0	349	11	200
torch.nn.functional.conv3d	604	0	604	236	69	98	201	0	0	0	0	368	35	201
torch.nn.functional.conv_transpose1d	353	0	353	104	18	31	200	0	0	0	0	144	9	200
torch.nn.functional.conv_transpose2d	490	0	490	173	58	57	202	0	0	0	0	275	13	202
torch.nn.functional.conv_transpose3d	729	0	729	350	83	94	202	0	0	0	0	493	34	202
torch.nn.functional.cosine_embedding_loss	541	0	541	129	89	119	204	0	0	0	0	257	80	204
torch.nn.functional.cosine_similarity	695	0	695	220	188	76	211	0	0	0	0	455	29	211
torch.nn.functional.cross_entropy	1138	0	1138	187	283	461	207	0	0	0	0	818	113	207
torch.nn.functional.ctc_loss	489	0	489	94	91	100	204	0	0	0	0	252	33	204
torch.nn.functional.dropout	541	0	541	70	169	100	202	0	0	0	0	314	25	202
torch.nn.functional.dropout2d	462	0	462	64	106	87	205	0	0	0	0	224	33	205
torch.nn.functional.dropout3d	467	0	467	68	111	87	201	0	0	0	0	229	37	201
torch.nn.functional.elu	597	0	597	79	152	161	205	0	0	0	0	352	40	205
torch.nn.functional.elu_	514	0	514	80	110	109	215	0	0	0	0	235	64	215
torch.nn.functional.embedding	721	0	721	207	64	250	200	0	0	0	0	482	39	200
torch.nn.functional.embedding_bag	2407	0	2407	994	814	391	208	0	0	0	0	2072	127	208
torch.nn.functional.feature_alpha_dropout	673	0	673	278	135	60	200	0	0	0	0	442	31	200
torch.nn.functional.fold	1641	0	1641	812	370	258	201	0	0	0	0	1348	92	201
torch.nn.functional.fractional_max_pool2d	661	0	661	171	105	183	202	0	0	0	0	424	35	202
torch.nn.functional.fractional_max_pool3d	516	0	516	126	118	68	204	0	0	0	0	250	62	204
torch.nn.functional.gaussian_nll_loss	992	0	992	245	140	398	209	0	0	0	0	710	73	209
