api	total	focus_total	excluded_total	category:common_user_or_argument_error	category:generated_code_error	category:low_signal_unclassified_exception	category:no_embedded_error_signal	category:strong_backend_failure	category:strong_backend_failure_sparse_caveat	category:tool_or_environment_limit	status:crash	status:exception	status:notarget	status:valid
torch.Tensor.log_normal_	746	0	746	250	165	122	208	0	0	1	0	465	73	208
torch.Tensor.logaddexp	457	0	457	93	96	53	215	0	0	0	0	215	27	215
torch.Tensor.logaddexp2	965	0	965	212	245	301	207	0	0	0	0	699	59	207
torch.Tensor.logcumsumexp	551	0	551	158	109	60	224	0	0	0	0	283	44	224
torch.Tensor.logdet	666	0	666	152	148	161	205	0	0	0	0	389	72	205
torch.Tensor.logical_and	782	0	782	103	283	186	210	0	0	0	0	521	51	210
torch.Tensor.logical_and_	662	0	662	149	137	166	210	0	0	0	0	287	165	210
torch.Tensor.logical_not	892	0	892	67	157	464	204	0	0	0	0	656	32	204
torch.Tensor.logical_not_	243	0	243	49	86	54	54	0	0	0	0	108	81	54
torch.Tensor.logical_or	701	0	701	125	258	113	205	0	0	0	0	392	104	205
torch.Tensor.logical_or_	663	0	663	151	199	113	200	0	0	0	0	360	103	200
torch.Tensor.logical_xor	702	0	702	77	221	204	200	0	0	0	0	455	47	200
torch.Tensor.logical_xor_	491	0	491	94	153	43	201	0	0	0	0	261	29	201
torch.Tensor.logit	551	0	551	55	209	84	203	0	0	0	0	302	46	203
torch.Tensor.logit_	485	0	485	42	87	119	237	0	0	0	0	212	36	237
torch.Tensor.logsumexp	725	0	725	221	213	91	200	0	0	0	0	467	58	200
torch.Tensor.long	334	0	334	43	30	39	222	0	0	0	0	94	18	222
torch.Tensor.lt	434	0	434	96	88	38	212	0	0	0	0	204	18	212
torch.Tensor.lt_	412	0	412	47	79	79	207	0	0	0	0	163	42	207
torch.Tensor.lu	839	0	839	312	215	107	205	0	0	0	0	572	62	205
torch.Tensor.lu_solve	534	0	534	119	108	96	211	0	0	0	0	295	28	211
torch.Tensor.map_	636	0	636	117	161	133	225	0	0	0	0	353	58	225
torch.Tensor.masked_fill	529	0	529	85	78	162	204	0	0	0	0	298	27	204
torch.Tensor.masked_fill_	399	0	399	63	40	95	201	0	0	0	0	155	43	201
torch.Tensor.masked_scatter	315	0	315	144	52	76	43	0	0	0	0	221	51	43
torch.Tensor.masked_select	467	0	467	92	87	70	218	0	0	0	0	231	18	218
torch.Tensor.matmul	650	0	650	85	169	193	203	0	0	0	0	429	18	203
torch.Tensor.matrix_exp	475	0	475	77	132	57	209	0	0	0	0	213	53	209
torch.Tensor.matrix_power	447	0	447	115	76	46	210	0	0	0	0	199	38	210
torch.Tensor.max	451	0	451	71	114	63	203	0	0	0	0	204	44	203
torch.Tensor.maximum	385	0	385	71	58	35	221	0	0	0	0	124	40	221
torch.Tensor.mean	337	0	337	21	83	24	209	0	0	0	0	116	12	209
torch.Tensor.median	538	0	538	158	89	74	217	0	0	0	0	306	15	217
torch.Tensor.min	628	0	628	157	170	93	208	0	0	0	0	344	76	208
torch.Tensor.minimum	463	0	463	123	92	40	208	0	0	0	0	201	54	208
torch.Tensor.mm	763	0	763	176	173	208	206	0	0	0	0	488	69	206
torch.Tensor.mode	599	0	599	126	146	127	200	0	0	0	0	343	56	200
torch.Tensor.moveaxis	236	0	236	47	77	19	93	0	0	0	0	132	11	93
torch.Tensor.movedim	369	0	369	71	56	28	214	0	0	0	0	141	14	214
torch.Tensor.msort	599	0	599	160	171	57	211	0	0	0	0	335	53	211
torch.Tensor.mul	324	0	324	61	34	20	209	0	0	0	0	104	10	210
torch.Tensor.mul_	497	0	497	67	122	76	232	0	0	0	0	238	27	232
torch.Tensor.multinomial	1288	0	1288	343	310	433	202	0	0	0	0	1019	67	202
torch.Tensor.multiply	323	0	323	30	42	33	218	0	0	0	0	103	2	218
torch.Tensor.multiply_	590	0	590	177	140	68	205	0	0	0	0	348	37	205
torch.Tensor.mv	558	0	558	138	98	118	204	0	0	0	0	303	51	204
torch.Tensor.mvlgamma_	516	0	516	114	149	50	203	0	0	0	0	263	50	203
torch.Tensor.nan_to_num	713	0	713	172	181	153	207	0	0	0	0	459	47	207
torch.Tensor.nan_to_num_	404	0	404	67	81	47	209	0	0	0	0	178	17	209
torch.Tensor.nanmean	539	0	539	96	126	111	206	0	0	0	0	314	19	206
torch.Tensor.nanmedian	528	0	528	90	130	102	206	0	0	0	0	289	33	206
torch.Tensor.nanquantile	369	0	369	39	87	38	205	0	0	0	0	125	39	205
torch.Tensor.nansum	414	0	414	30	112	63	209	0	0	0	0	198	7	209
torch.Tensor.narrow	419	0	419	94	40	79	205	0	0	1	0	202	12	205
torch.Tensor.narrow_copy	817	0	817	203	161	231	222	0	0	0	0	547	48	222
torch.Tensor.ndimension	582	0	582	95	177	98	212	0	0	0	0	342	28	212
torch.Tensor.ne	923	0	923	263	228	231	201	0	0	0	0	608	114	201
torch.Tensor.ne_	941	0	941	272	238	220	206	0	0	5	0	401	334	206
torch.Tensor.neg	539	0	539	110	126	85	218	0	0	0	0	233	88	218
torch.Tensor.neg_	677	0	677	142	187	138	210	0	0	0	0	325	142	210
torch.Tensor.negative	341	0	341	37	74	30	200	0	0	0	0	138	3	200
torch.Tensor.negative_	667	0	667	201	108	151	207	0	0	0	0	416	44	207
torch.Tensor.nelement	370	0	370	35	35	91	209	0	0	0	0	139	22	209
torch.Tensor.new_empty	494	0	494	122	89	79	204	0	0	0	0	268	22	204
torch.Tensor.new_full	850	0	850	92	257	299	202	0	0	0	0	630	18	202
torch.Tensor.new_ones	618	0	618	125	165	113	215	0	0	0	0	375	28	215
torch.Tensor.new_tensor	774	0	774	252	165	148	209	0	0	0	0	438	127	209
torch.Tensor.new_zeros	612	0	612	214	80	110	208	0	0	0	0	369	35	208
torch.Tensor.nextafter	592	0	592	118	75	183	216	0	0	0	0	338	38	216
torch.Tensor.nextafter_	582	0	582	168	121	89	204	0	0	0	0	310	68	204
torch.Tensor.nonzero	559	0	559	112	109	127	211	0	0	0	0	302	46	211
torch.Tensor.norm	644	0	644	155	204	84	201	0	0	0	0	421	22	201
torch.Tensor.normal_	782	0	782	178	199	204	201	0	0	0	0	514	67	201
