api	total	focus	excluded	catches	categories
torch.divide	5	0	5	GpuExecFail:3;ExceptMsgCatch:2	gpu_exec_regular_exception:3;exception_message_difference_low_value:2
torch.dot	199	0	199	GpuExecFail:195;ExceptMsgCatch:4	gpu_exec_regular_exception:195;exception_message_difference_low_value:4
torch.dsplit	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:1;generated_code_error:1
torch.dstack	5	0	5	ExceptMsgCatch:4;GpuExecFail:1	exception_message_difference_low_value:4;gpu_exec_regular_exception:1
torch.einsum	20	0	20	GpuExecFail:14;ExceptMsgCatch:6	gpu_exec_regular_exception:14;exception_message_difference_low_value:6
torch.empty_like	223	0	223	VarInconsistentCatch:223	alias_or_mutation_semantics:145;uninitialized_or_lazy_state:76;generated_code_error:2
torch.empty_strided	29	0	29	VarInconsistentCatch:28;ExceptMsgCatch:1	uninitialized_or_lazy_state:23;alias_or_mutation_semantics:5;exception_message_difference_low_value:1
torch.enable_grad	2	0	2	GpuExecFail:1;ExceptMsgCatch:1	gpu_exec_regular_exception:1;exception_message_difference_low_value:1
torch.eq	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.erf	5	0	5	GpuExecFail:4;ExceptMsgCatch:1	gpu_exec_regular_exception:4;exception_message_difference_low_value:1
torch.erfc	30	0	30	ExceptMsgCatch:30	exception_message_difference_low_value:28;generated_code_error:2
torch.erfinv	9	0	9	ExceptMsgCatch:6;GpuExecFail:3	exception_message_difference_low_value:6;gpu_exec_regular_exception:3
torch.exp	32	1	31	VarInconsistentCatch:27;GpuExecFail:4;ExceptMsgCatch:1	nan_inf_or_boundary_numeric:26;gpu_exec_regular_exception:4;exception_message_difference_low_value:1;logic_inconsistency_needs_review:1
torch.exp2	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.expm1	3	0	3	GpuExecFail:2;ExceptMsgCatch:1	gpu_exec_regular_exception:2;exception_message_difference_low_value:1
torch.eye	2	0	2	GpuExecFail:2	gpu_exec_regular_exception:2
torch.fake_quantize_per_tensor_affine	2	0	2	ExceptMsgCatch:1;VarInconsistentCatch:1	exception_message_difference_low_value:1;uninitialized_or_lazy_state:1
torch.fft.fft	101	0	101	VarInconsistentCatch:55;GpuExecFail:38;ExceptMsgCatch:8	nan_inf_or_boundary_numeric:55;gpu_exec_regular_exception:34;exception_message_difference_low_value:7;generated_code_error:5
torch.fft.fft2	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.fft.fftfreq	9	0	9	ExceptMsgCatch:6;GpuExecFail:3	exception_message_difference_low_value:4;gpu_exec_regular_exception:3;tool_or_environment_limit:2
torch.fft.fftn	17	0	17	ExceptMsgCatch:13;VarInconsistentCatch:2;GpuExecFail:2	exception_message_difference_low_value:12;alias_or_mutation_semantics:2;gpu_exec_regular_exception:2;generated_code_error:1
torch.fft.fftshift	17	0	17	VarInconsistentCatch:15;ExceptMsgCatch:2	nan_inf_or_boundary_numeric:15;exception_message_difference_low_value:2
torch.fft.hfft	50	4	46	VarInconsistentCatch:32;ExceptMsgCatch:12;GpuExecFail:6	nan_inf_or_boundary_numeric:27;exception_message_difference_low_value:12;gpu_exec_regular_exception:6;numeric_consistency_check_needed:4;generated_code_error:1
torch.fft.ifft	8	0	8	ExceptMsgCatch:6;GpuExecFail:2	exception_message_difference_low_value:5;gpu_exec_regular_exception:2;generated_code_error:1
torch.fft.ifft2	15	0	15	ExceptMsgCatch:14;GpuExecFail:1	exception_message_difference_low_value:14;gpu_exec_regular_exception:1
torch.fft.ifftn	20	1	19	ExceptMsgCatch:14;GpuExecFail:5;VarInconsistentCatch:1	exception_message_difference_low_value:12;gpu_exec_regular_exception:5;generated_code_error:2;numeric_consistency_check_needed:1
torch.fft.ifftshift	9	0	9	GpuExecFail:6;ExceptMsgCatch:3	gpu_exec_regular_exception:6;exception_message_difference_low_value:2;generated_code_error:1
torch.fft.ihfft	34	19	15	VarInconsistentCatch:24;ExceptMsgCatch:10	numeric_consistency_check_needed:19;exception_message_difference_low_value:9;alias_or_mutation_semantics:5;generated_code_error:1
torch.fft.irfft	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.fft.irfft2	6	0	6	ExceptMsgCatch:6	exception_message_difference_low_value:3;generated_code_error:3
torch.fft.irfftn	7	0	7	ExceptMsgCatch:7	exception_message_difference_low_value:7
torch.fft.rfft	30	6	24	GpuExecFail:11;VarInconsistentCatch:10;ExceptMsgCatch:9	gpu_exec_regular_exception:11;exception_message_difference_low_value:9;numeric_consistency_check_needed:6;nan_inf_or_boundary_numeric:4
torch.fft.rfft2	17	0	17	ExceptMsgCatch:12;GpuExecFail:4;VarInconsistentCatch:1	exception_message_difference_low_value:11;gpu_exec_regular_exception:4;generated_code_error:1;nan_inf_or_boundary_numeric:1
torch.fft.rfftfreq	10	0	10	GpuExecFail:7;ExceptMsgCatch:3	gpu_exec_regular_exception:7;exception_message_difference_low_value:3
torch.fft.rfftn	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.flatten	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.fliplr	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.flipud	5	1	4	ExceptMsgCatch:3;VarInconsistentCatch:2	exception_message_difference_low_value:2;generated_code_error:1;logic_inconsistency_needs_review:1;alias_or_mutation_semantics:1
torch.float_power	5	0	5	GpuExecFail:3;ExceptMsgCatch:1;VarInconsistentCatch:1	gpu_exec_regular_exception:3;exception_message_difference_low_value:1;alias_or_mutation_semantics:1
torch.floor	2	0	2	VarInconsistentCatch:2	nan_inf_or_boundary_numeric:2
torch.floor_divide	5	0	5	ExceptMsgCatch:5	exception_message_difference_low_value:5
torch.fmin	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.fmod	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.frexp	5	0	5	GpuExecFail:3;ExceptMsgCatch:2	gpu_exec_regular_exception:3;exception_message_difference_low_value:2
torch.from_numpy	31	0	31	GpuExecFail:31	gpu_exec_regular_exception:31
torch.frombuffer	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.futures.Future	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.futures.collect_all	6	0	6	ExceptMsgCatch:6	exception_message_difference_low_value:6
torch.futures.wait_all	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.fx.Graph	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.fx.Node	26	0	26	ExceptMsgCatch:26	exception_message_difference_low_value:25;generated_code_error:1
torch.fx.Tracer	5	0	5	ExceptMsgCatch:2;VarInconsistentCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;nan_inf_or_boundary_numeric:2;gpu_exec_regular_exception:1
torch.gather	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.gcd	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.ge	2	0	2	ExceptMsgCatch:1;GpuExecFail:1	generated_code_error:1;gpu_exec_regular_exception:1
torch.geqrf	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.ger	2	1	1	VarInconsistentCatch:1;GpuExecFail:1	logic_inconsistency_needs_review:1;gpu_exec_regular_exception:1
torch.get_default_dtype	5	0	5	ExceptMsgCatch:4;GpuExecFail:1	generated_code_error:4;gpu_exec_regular_exception:1
torch.get_num_interop_threads	63	61	2	VarInconsistentCatch:61;GpuExecFail:2	logic_inconsistency_needs_review:61;gpu_exec_regular_exception:2
torch.get_num_threads	1	1	0	VarInconsistentCatch:1	logic_inconsistency_needs_review:1
torch.get_rng_state	16	0	16	GpuExecFail:14;ExceptMsgCatch:2	gpu_exec_regular_exception:14;exception_message_difference_low_value:1;generated_code_error:1
torch.hamming_window	2	0	2	ExceptMsgCatch:1;GpuExecFail:1	exception_message_difference_low_value:1;gpu_exec_regular_exception:1
torch.hann_window	4	0	4	GpuExecFail:3;ExceptMsgCatch:1	gpu_exec_regular_exception:3;generated_code_error:1
torch.heaviside	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1
torch.histc	10	0	10	ExceptMsgCatch:8;VarInconsistentCatch:2	exception_message_difference_low_value:7;nan_inf_or_boundary_numeric:2;generated_code_error:1
torch.histogram	224	0	224	GpuExecFail:224	gpu_exec_regular_exception:224
